raw_row_number,date,time,location,lat,lng,sector,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,outcome,vehicle_registration_state,raw_race
22,2016-04-18,09:30:00,"1400 W 9TH ST, OWENSBORO, KY, 42301",37.7643023,-87.1319714,ALPHA,63,white,male,791f232f61,pedestrian,"POSS CONT SUB 1ST DEG 1ST OFF (OPIATES); POSS CONT SUB, 3RD DEGREE - DRUG UNSPECIFIED; FAILURE TO WEAR SEAT BELTS",TRUE,TRUE,arrest,KY,WHITE
23,2015-10-22,16:36:00,"510 JED PL, OWENSBORO, KY, 42301",37.7714356,-87.1461555,ALPHA,21,white,male,1981bddf26,pedestrian,TRAF IN MARIJUA ( > 5 LBS.) 1ST OFF; DRUG PARAPHERLIA - BUY/POSSESS,TRUE,TRUE,arrest,KY,WHITE
24,2016-06-07,18:57:00,"J R MILLER BLVD & E 9TH STREET, DALLAS, TX, 75211",37.7676926,-87.1082708,BRAVO,25,white,male,1981bddf26,pedestrian,"TRAFF IN CONT SUB, 1ST DEGREE, 1ST OFF - (< 2 GMS HEROIN); TRAFF IN CONT SUB, 3RD DEGREE, 1ST OFF - (< 20 D.U. DRUG UNSPECIFIED); RECKLESS DRIVING; NO OPERATORS-MOPED LICENSE",TRUE,TRUE,arrest,TX,WHITE
25,2015-11-20,18:07:00,"1100 LEITCHFIELD RD, OWENSBORO, KY, 42303",37.7656847,-87.0902234,BRAVO,39,white,male,77dd92cd7c,vehicular,"FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF; NO REGISTRATION PLATES; TRAF IN MARIJUA ( LESS THAN 8 OZ.) 1ST OFF",TRUE,TRUE,arrest,KY,WHITE
26,2016-03-25,18:13:00,"1200 E PARRISH AVE, OWENSBORO, KY, 42303",37.765076,-87.1034087,BRAVO,57,black,male,77dd92cd7c,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 2ND OFF,TRUE,TRUE,arrest,KY,BLACK
27,2015-09-30,03:37:00,"E 9TH ST / CRITTENDEN ST, OWENSBORO, KY, 42301",37.7676977,-87.1069826,BRAVO,38,white,male,222e142740,vehicular,OPERATING ON SUS OR REV OPER LICENSE,FALSE,TRUE,citation,KY,WHITE
28,2015-10-01,23:39:00,"500 W 9TH ST, BEAVER DAM, KY, 42320",37.7672347,-87.116076,BRAVO,24,white,female,222e142740,vehicular,NO REGISTRATION PLATES,FALSE,TRUE,citation,KY,WHITE
29,2016-03-03,21:30:00,"1300 W 5TH ST, OWENSBORO, KY, 42303",37.7707829,-87.1266611,ALPHA,32,black,male,38454df675,vehicular,"SPEEDING 12 MPH OVER LIMIT; DRIVING ON DUI SUSPENDED LICENSE -1ST OFFENSE; OPER MTR VEH U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM), 2ND; ENDANGERING THE WELFARE OF A MINOR; CARRYING A CONCEALED WEAPON; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED",TRUE,TRUE,arrest,KY,BLACK
30,2015-10-31,01:50:00,"300 FRAYSER AVE, OWENSBORO, KY, 42301",37.7729492,-87.1264,ALPHA,59,white,male,2c3aa77476,vehicular,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF,TRUE,TRUE,arrest,KY,WHITE
31,2015-11-21,02:30:00,"2500 W PARRISH AVE, OWENSBORO, KY, 42301",37.7576701,-87.1454626,CHARLIE,19,white,male,2c3aa77476,vehicular,NO REGISTRATION PLATES; FAILURE TO PRODUCE INSURANCE CARD; OPERATING ON SUS OR REV OPER LICENSE,FALSE,TRUE,citation,KY,WHITE
32,2016-04-21,13:37:00,"3000 FREDERICA ST, UTICA, KY",37.7437086,-87.1161491,ECHO,30,white,female,2c3aa77476,vehicular,NO REGISTRATION PLATES; OPERATING ON SUS OR REV OPER LICENSE,FALSE,TRUE,citation,KY,WHITE
33,2016-01-06,10:33:00,"3000 OLD HARTFORD RD, OWENSBORO, KY, 42303",37.7476463,-87.0891984,DELTA,29,white,female,a118e7add8,vehicular,SPEEDING 19 MPH OVER LIMIT,FALSE,TRUE,citation,KY,WHITE
34,2015-09-12,02:10:00,"2509 W PARRISH AVE, FERDIND, IN, 47532",37.7582484,-87.1417044,CHARLIE,22,white,male,5ad1b66604,vehicular,"OPER MTR VEH U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM), 2ND",TRUE,TRUE,arrest,KY,WHITE
35,2015-10-10,23:43:00,"3000 KY54, BEAVER DAM, KY, 42320",37.7557518,-87.0659347,DELTA,18,white,female,5ad1b66604,vehicular,FAILURE TO ILLUMITE HEAD LAMPS; INTERMEDIATE LICENSING VIOLATIONS; OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF; POSS OF MARIJUADRUG PARAPHERLIA - BUY/POSSESS,TRUE,TRUE,arrest,KY,WHITE
36,2016-05-21,02:18:00,"W PARRISH AVE AND DEAN AVE, OWENSBORO, KY, 42303",37.7603985,-87.1266225,CHARLIE,26,white,male,5ad1b66604,vehicular,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF; FAILURE TO NOTIFY ADRS CHANGE TO DEPT OF TRANS; OWNER TO NOTIFY CLERK OF RESIDENCE OR ME CHANGE,TRUE,TRUE,arrest,KY,WHITE
37,2016-05-22,01:46:00,"W PARRISH AVE AND BOSLEY RD, OWENSBORO, KY, 42303",37.758797,-87.1357135,CHARLIE,29,white,male,5ad1b66604,vehicular,NO TAIL LAMPS; FAILURE TO PRODUCE INSURANCE CARD; NO REGISTRATION PLATES; NO REGISTRATION RECEIPT; OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF,TRUE,TRUE,arrest,KY,WHITE
38,2016-06-19,23:49:00,"900 FREDERICA ST, OWENSBORO, KY, 42303",37.7670612,-87.1128981,BRAVO,58,white,male,5ad1b66604,vehicular,"OPER MTR VEH U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM), 2ND; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED",TRUE,TRUE,arrest,KY,WHITE
39,2016-06-25,19:30:00,"FREDERICA ST AND W 11TH ST, OWENSBORO, KY, 42301",37.7654155,-87.1127433,BRAVO,38,white,male,5ad1b66604,pedestrian,"POSS CONT SUB 1ST DEG, 1ST OFF (METHAMPHETAMINE); DRUG PARAPHERLIA - BUY/POSSESS",TRUE,TRUE,arrest,KY,WHITE
40,2016-06-25,19:30:00,"FREDERICA ST AND W 11TH ST, OWENSBORO, KY, 42301",37.7653386,-87.1126595,BRAVO,26,white,male,5ad1b66604,vehicular,"FAILURE TO WEAR SEAT BELTS; FAILURE TO PRODUCE INSURANCE CARD; NO REGISTRATION PLATES; NO REGISTRATION RECEIPT; OPERATING VEHICLE WITH EXPIRED OPERATORS LICENSE; POSS CONT SUB, 1ST DEGREE, 2ND OFFENSE (METHAMPHETAMINE); DRUG PARAPHERLIA - BUY/POSSESS",TRUE,TRUE,arrest,KY,WHITE
41,2016-07-04,01:20:00,"J R MILLER BLVD AND E 25TH ST, OWENSBORO, KY, 42301",37.7514937,-87.1068004,DELTA,24,white,female,5ad1b66604,vehicular,"NO REGISTRATION PLATES; FAILURE TO PRODUCE INSURANCE CARD; LICENSE TO BE IN POSSESSION; POSS OF MARIJUAPOSS CONT SUB, 1ST DEGREE, 3RD OR > OFFENSE (METHAMPHETAMINE); DRUG PARAPHERLIA - BUY/POSSESS",TRUE,TRUE,arrest,KY,WHITE
42,2015-09-05,09:03:00,"300 J R MILLER BLVD, OWENSBORO, KY, 42301",37.7733422,-87.1087124,BRAVO,34,white,male,7810a3cab8,vehicular,"FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF",FALSE,TRUE,citation,KY,WHITE
43,2015-09-24,12:17:00,"608 CEDAR ST, OWENSBORO, KY, 42303",37.7524604,-87.1150195,CHARLIE,20,white,male,7810a3cab8,vehicular,DRIVING ON DUI SUSPENDED LICENSE -1ST OFFENSE; DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LI,FALSE,TRUE,citation,KY,WHITE
44,2015-09-24,12:17:00,"1001 W PARRISH AVE, OWENSBORO, KY, 42301",37.7634598,-87.1155648,BRAVO,70,white,male,7810a3cab8,vehicular,"FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF",FALSE,TRUE,citation,KY,WHITE
45,2015-09-25,06:43:00,"11TH TRIPLETT ST, SAN ANTONIO, TX, 78218",37.7660181,-87.1033873,BRAVO,59,white,male,7810a3cab8,vehicular,FAILURE TO REPORT TRAFFIC ACCIDENT,FALSE,TRUE,citation,MS,WHITE
46,2016-01-23,09:48:00,"1100 BLOCK CARTER RD, OWENSBORO, KY, 42301",37.7636806,-87.1482519,ALPHA,18,white,female,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
47,2016-01-23,13:32:00,"1400 BLOCK W 9TH ST, OWENSBORO, KY, 42301",37.7663252,-87.126345,ALPHA,49,black,male,78fbcbf614,vehicular,SPEEDING 15 MPH OVER LIMIT; POSS OF MARIJUA,FALSE,TRUE,citation,KY,BLACK
48,2015-11-20,17:35:00,"815 STONE ST, OWENSBORO, KY, 42303",37.7701579,-87.0929874,BRAVO,36,white,male,1981bddf26,pedestrian,POSS OF MARIJUADRUG PARAPHERLIA - BUY/POSSESS; IMPROPER DISPLAY OF REGISTRATION PLATES; LICENSE TO BE IN POSSESSION,TRUE,TRUE,arrest,KY,WHITE
49,2015-12-17,07:36:00,"1700 BLOCK W 5TH ST, OWENSBORO, KY, 42303",37.7705128,-87.1309223,ALPHA,31,white,male,78fbcbf614,vehicular,SPEEDING 16 MPH OVER LIMIT,FALSE,TRUE,citation,KY,WHITE
50,2015-12-18,12:30:00,"1100 BLOCK CARTER RD, OWENSBORO, KY, 42301",37.7624205,-87.14764,ALPHA,48,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
51,2015-12-18,12:48:00,"1100 BLOCK CARTER RD, OWENSBORO, KY, 42301",37.7627753,-87.1478565,ALPHA,46,white,female,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
52,2015-09-06,00:24:00,"E PARRISH AVE AND BRECKENRIDGE ST, OWENSBORO, KY, 42301",37.7652437,-87.0985689,DELTA,52,black,female,9da482097d,pedestrian,GIVING OFFICER FALSE ME OR ADDRESS,TRUE,TRUE,arrest,KY,BLACK
53,2015-09-06,00:26:00,"TRIPLETT ST AND PARRISH AVE, OWENSBORO, KY, 42301",37.7650456,-87.1033809,DELTA,51,black,female,9da482097d,vehicular,CARELESS DRIVING,FALSE,TRUE,citation,KY,BLACK
54,2016-03-01,21:40:00,"409 CRABTREE AVE, OWENSBORO, KY, 42301",37.7703894,-87.1344259,ALPHA,19,white,male,9da482097d,vehicular,"NO REGISTRATION PLATES; RESISTING ARREST; FLEEING OR EVADING POLICE, 2ND DEGREE (ON FOOT); ASSAULT 3RD DEGREE-POLICE OFFICER OR PROB OFFICER; ASSAULT 3RD DEGREE-POLICE OFFICER OR PROB OFFICER; CRIMIL MISCHIEF 3RD DEGREE; CRIMIL TRESPASSING-3RD DEGREE",TRUE,TRUE,arrest,KY,WHITE
55,2016-02-18,09:45:00,"NEW HARTFORD RD/SUNRISE, OWENSBORO, KY, 42303",37.7509996,-87.0998493,DELTA,54,white,male,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS; NO OPERATORS-MOPED LICENSE,TRUE,TRUE,arrest,KY,WHITE
56,2016-01-20,12:25:00,"2500 CARTER RD, OWENSBORO, KY, 42301",37.746436,-87.1485572,CHARLIE,30,black,male,20ec83162d,vehicular,"NO REGISTRATION PLATES; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF; OPERATING ON SUS OR REV OPER LICENSE",FALSE,TRUE,citation,KY,BLACK
57,2015-11-13,06:27:00,"FREDERICA ST & TIME DR, OWENSBORO, KY, 42303",37.7312589,-87.1216144,ECHO,39,white,male,948750a9fa,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
58,2015-09-11,11:41:00,"WALNUT ST&W 3RD ST, OWENSBORO, KY, 42301",37.7733762,-87.1180857,ALPHA,22,black,male,b53fa3b4b2,vehicular,"FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF",FALSE,TRUE,citation,NM,BLACK
59,2015-09-18,12:46:00,"WING AVE&E PARRISH AVE, OWENSBORO, KY, 42303",37.7665258,-87.0880918,BRAVO,47,white,female,b53fa3b4b2,vehicular,CARELESS DRIVING,FALSE,TRUE,citation,KY,WHITE
60,2015-11-03,09:19:00,"EWING RD&W 2ND ST, OWENSBORO, KY, 42303",37.7735634,-87.1416871,ALPHA,41,white,male,b53fa3b4b2,vehicular,DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT,FALSE,TRUE,citation,IN,WHITE
61,2015-11-13,11:08:00,"FREDERICA ST&W 9TH ST, WAVERLY, KY, 42462",37.7674502,-87.1128754,BRAVO,23,white,male,b53fa3b4b2,vehicular,DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT,FALSE,TRUE,citation,KY,WHITE
62,2015-11-13,11:14:00,"900 BLK FREDERICA ST, WAVERLY, KY, 42462",37.7675383,-87.1128924,BRAVO,23,white,male,b53fa3b4b2,vehicular,NO REGISTRATION PLATES; OPERATING ON SUS OR REV OPER LICENSE,FALSE,TRUE,citation,KY,WHITE
63,2015-12-06,13:59:00,"J R MILLER BLVD&WEIKEL DR, OWENSBORO, KY, 42303",37.7275808,-87.111466,FOX,20,white,female,b53fa3b4b2,vehicular,FOLLOWING ANOTHER VEHICLE TOO CLOSELY,FALSE,TRUE,citation,KY,WHITE
64,2016-03-06,05:00:00,"W 9TH ST&HICKMAN AVE, OWENSBORO, KY, 42301",37.7664913,-87.1258534,ALPHA,29,black,male,b53fa3b4b2,vehicular,NO OPERATORS-MOPED LICENSE,FALSE,TRUE,citation,KY,BLACK
65,2015-11-05,23:17:00,"SOUTHTOWN BLVD & GEMINI DR, OWENSBORO, KY, 42301",37.7234933,-87.1428125,ECHO,19,white,male,e8738d9291,vehicular,SPEEDING 15 MPH OVER LIMIT,FALSE,TRUE,citation,KY,WHITE
66,2016-03-28,10:46:00,"PLACID PL W/TAMARACK RD, OWENSBORO, KY, 42303",37.7360884,-87.1183987,FOX,35,white,female,555503b792,vehicular,"NO REGISTRATION PLATES; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF",FALSE,TRUE,citation,KY,WHITE
67,2015-10-14,00:11:00,"GRIFFITH AVE AND ALDERSON CT, AIRDRIE, AB, T4B2W2",37.7602136,-87.1135943,CHARLIE,18,white,male,4a0af94647,vehicular,NO TAIL LAMPS; OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF; POSS OF MARIJUA,TRUE,TRUE,arrest,NA,WHITE
68,2015-10-29,00:25:00,"300 HALE AVE, OWENSBORO, KY, 42301",37.7721443,-87.1325563,ALPHA,33,white,female,4a0af94647,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF; OPERATING ON SUS OR REV OPER LICENSE,TRUE,TRUE,arrest,KY,WHITE
69,2015-12-15,02:20:00,"W 9TH ST, OWENSBORO, KY, 42301",37.7668454,-87.1232831,ALPHA,19,black,male,4a0af94647,vehicular,"FAILURE TO GIVE RIGHT OF WAY TO EMERGENCY STOPPED VEHICLE; FAILURE TO OR IMPROPER SIGL; OPER MTR VEH U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM), 2ND; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED; DRIVING DUI SUSPENDED LICENSE - 1ST OFF (AGG CIRCUM)",TRUE,TRUE,arrest,KY,BLACK
70,2016-02-03,01:27:00,"1119 CARTER RD, FORDSVILLE, KY, 42301",37.7634878,-87.1481536,ALPHA,32,white,male,4a0af94647,vehicular,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF,TRUE,TRUE,arrest,KY,WHITE
71,2016-04-30,21:37:00,"J R MILLER BLVD & E 18TH STREET, OWENSBORO, KY, 42301",37.7586123,-87.1074211,DELTA,53,white,male,fea9ce3b69,vehicular,FAILURE TO ILLUMITE HEAD LAMPS; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED; LICENSE TO BE IN POSSESSION; OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF,TRUE,TRUE,arrest,KY,WHITE
72,2016-05-10,18:35:00,"121 W 23RD ST, MACEO, KY, 42355",37.7535517,-87.111006,DELTA,51,white,male,fea9ce3b69,vehicular,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF; WANTON ENDANGERMENT-1ST DEGREE; CRIMIL MISCHIEF, 1ST DEGREE; LEAVING SCENE OF ACCIDENT-FAILURE TO RENDER AID OR ASSISTANCE; NO OPERATORS-MOPED LICENSE; NO REGISTRATION PLATES",TRUE,TRUE,arrest,KY,WHITE
73,2016-05-31,16:36:00,"3332 VILLA PT, MACEO, KY, 42355",37.7514976,-87.0569085,DELTA,35,white,male,fea9ce3b69,vehicular,"NO REGISTRATION PLATES; POSS CONT SUB 1ST DEG, 1ST OFF (METHAMPHETAMINE); DRUG PARAPHERLIA - BUY/POSSESS",TRUE,TRUE,arrest,KY,WHITE
74,2016-04-17,17:21:00,"1000 CRABTREE AVE, OWENSBORO, KY, 42301",37.765533,-87.1341262,ALPHA,44,white,male,fbd3670efb,pedestrian,"POSS CONT SUB, 1ST DEGREE, 2ND OFFENSE (METHAMPHETAMINE); FAILURE TO WEAR SEAT BELTS",TRUE,TRUE,arrest,KY,WHITE
75,2016-05-08,02:48:00,"3000 ASBURY PL, OWENSBORO, KY, 42303",37.7481904,-87.0814458,DELTA,46,black,male,2de396d1db,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF,TRUE,TRUE,arrest,KY,BLACK
76,2016-01-06,23:03:00,"1024 HERMITAGE DR, OWENSBORO, KY, 42301",37.7405608,-87.1192617,ECHO,20,black,male,2de396d1db,vehicular,OPERATING ON SUS OR REV OPER LICENSE; NO REGISTRATION PLATES; TRAF IN MARIJUA ( LESS THAN 8 OZ.) 2ND > OFF,TRUE,TRUE,arrest,KY,BLACK
77,2015-12-30,02:41:00,"TRIPLETT ST / W 3RD ST, OWENSBORO, KY, 42303",37.7747219,-87.1042587,BRAVO,32,asian/pacific islander,male,2de396d1db,vehicular,RECKLESS DRIVING; OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF,TRUE,TRUE,arrest,KY,ASIAN
78,2016-08-01,21:25:00,"4600 MARLBORO DR, OWENSBORO, KY, 42301",37.7249484,-87.119432,FOX,23,black,male,295efe66a1,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF; NO OPERATORS-MOPED LICENSE; LEAVING SCENE OF ACCIDENT-FAILURE TO RENDER AID OR ASSISTANCE,TRUE,TRUE,arrest,KY,BLACK
79,2015-12-19,19:28:00,"E 4TH ST AND W HIGHLAND AVE, PHILPOT, KY, 42366",37.7747259,-87.09356,BRAVO,36,white,male,78540037a6,vehicular,SPEEDING 10 MPH OVER LIMIT,FALSE,TRUE,citation,KY,WHITE
80,2015-12-19,19:48:00,"E 4TH ST AND W HIGHLAND AVE, OWENSBORO, KY, 42303",37.7747089,-87.0936211,BRAVO,60,white,female,78540037a6,vehicular,SPEEDING 10 MPH OVER LIMIT,FALSE,TRUE,citation,KY,WHITE
